Inf,Name,Nationality,Media Handling,Personality,ShT/90,Ps C/90,Ps A/90,K Ps/90,Int/90,Hdrs W/90,Drb/90,Dist/90,Asts/90,Ch C/90,Mins/Gl,Wor,Vis,Tec,Tck,Str,Sta,Pos,Pen,Pas,Pac,OtB,Nat,Mar,L Th,Lon,Ldr,Jum,Hea,Fre,Fla,Fir,Fin,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Bra,Bal,Ant,Agg,Acc,Position Selected,Position,Age,Agreed Playing Time,Wage,Transfer Value,Agi,Tea,Gls/90,Shot/90,Blk/90,Clr/90,Cr C/90,Poss Won/90,Pr passes/90,xA/90,xG/90,Tck/90,Poss Lost/90,Left Foot,Right Foot,Conv %,Pas %,Cr C/A,Tck R,Club
Int,Diego,BEL,Unflappable,Light-Hearted,1.61,19.06,23.68,3.35,1.44,0.26,2.35,13.0km,0.78,1.35,108.84,15,14,14,8,13,16,11,16,15,16,15,15,10,4,14,12,4,13,12,16,17,17,17,17,16,13,15,14,12,8,18,14,10,15,-,"AMR, STC",20,Squad Player,50,"24000000, 26000000",16,12,0.83,3.00,0.17,0.09,1.57,4.09,2.87,0.51,0.70,1.18,13.27,Weak,Very Strong,28%,81%,13%,75%,PFK Montana
Int,Matěj Pavlak,CRO,Level-headed,Driven,1.59,33.95,41.03,3.19,1.93,0.30,2.15,13.2km,0.22,1.04,142.82,13,17,16,6,13,15,7,12,14,17,16,13,10,6,14,8,3,12,13,16,16,13,17,20,14,16,14,8,12,13,14,15,11,18,-,"AMR, DM, MC",21,Star Player,40.5,"41000000, 52000000",17,12,0.63,3.71,0.07,0.19,1.07,6.23,5.60,0.37,0.46,1.45,14.05,Reasonable,Very Strong,17%,83%,13%,75%,PFK Montana
Int,Sam Ball-Thompson,ENG,Unflappable,Resilient,1.44,26.88,35.19,3.12,1.68,0.56,3.00,13.2km,0.44,0.93,297.46,14,14,17,8,12,17,8,11,15,17,14,14,9,13,13,15,6,13,17,16,15,14,16,15,13,13,12,8,13,13,17,12,8,16,-,"AML, ML",21,Important Player,130,"28000000, 31000000",18,11,0.30,3.35,0.30,0.37,0.88,6.19,4.72,0.39,0.28,2.28,14.78,Reasonable,Very Strong,9%,76%,20%,81%,PFK Montana
Hol,Juan Cruz Herrero,ARG,Level-headed,Resolute,2.71,13.84,16.31,1.55,0.70,0.67,1.47,11.8km,0.13,0.49,65.91,13,11,17,2,12,15,7,15,12,16,16,11,7,4,14,12,9,15,13,17,17,18,17,15,13,14,12,6,17,10,18,14,12,17,-,"AMR, STC",23,Star Player,75,"32000000, 35000000",19,12,1.37,4.46,-,0.08,0.21,2.83,1.06,0.17,1.06,0.52,7.11,Very Strong,Fairly Strong,31%,85%,10%,57%,PFK Montana
Int,George Chirilă,ROU,"Unflappable, Media-friendly",Unsporting,1.13,27.46,34.06,4.45,1.13,0.72,2.38,13.3km,0.72,1.77,171.32,13,13,15,8,12,17,13,15,14,17,13,13,11,10,12,11,5,11,8,16,17,14,14,15,14,16,14,13,14,12,17,14,8,16,-,"AMR, WBR",23,Star Player,21,"500000, 500000",17,13,0.53,2.41,0.14,0.33,1.66,5.94,4.98,0.57,0.34,1.69,18.41,Very Strong,Fairly Strong,22%,81%,12%,88%,PFK Montana
Int,Nathan Ince-Petrie,ENG,Unflappable,Unambitious,0.77,48.81,54.75,0.67,2.99,6.31,1.00,12.4km,0.07,0.12,451.25,14,15,13,15,17,16,15,3,12,16,10,15,14,5,5,16,17,14,3,10,10,6,11,15,15,7,3,15,12,19,19,15,11,16,-,"DC, DL",24,Important Player,110,"27000000, 30000000",16,13,0.20,1.72,0.67,0.57,0.05,17.28,6.23,0.07,0.20,1.94,7.35,Reasonable,Very Strong,12%,89%,6%,74%,PFK Montana
Int,Sreten Valek,CRO,Level-headed,Driven,0.73,49.34,57.66,2.57,1.75,2.11,0.11,12.8km,0.34,0.56,456.00,15,18,17,13,12,15,16,8,17,14,13,14,15,7,14,17,13,10,6,9,17,9,10,18,15,10,6,13,13,11,18,16,14,15,-,"DM, MC",20,Important Player,71,"21000000, 24000000",16,18,0.20,2.40,0.31,0.17,0.06,9.53,9.56,0.24,0.15,1.75,8.85,Strong,Very Strong,8%,86%,28%,61%,PFK Montana
Int,Karlo Igor Mioković,CRO,Reserved,Resolute,0.23,38.63,44.28,1.35,3.83,1.97,1.97,12.9km,0.17,0.31,"1,066.33",12,13,16,12,13,13,14,7,15,16,14,15,13,8,11,17,7,12,4,13,12,8,13,15,14,13,7,13,13,18,18,14,11,17,-,"DC, DR, WBR",21,Squad Player,20,"38000000, 47000000",18,13,0.08,0.65,0.51,0.59,0.56,14.35,6.78,0.16,0.05,2.28,9.00,Fairly Strong,Very Strong,13%,87%,18%,76%,PFK Montana
Int,João Pedro Maria,FRA,Reserved,Resolute,-,25.55,29.07,0.02,0.16,-,-,6.3km,-,0.02,-,14,11,9,1,13,14,16,3,12,13,1,13,2,3,3,11,16,1,4,2,10,1,1,15,17,1,5,17,12,10,12,15,10,12,-,GK,22,Important Player,47.5,"29000000, 31000000",17,12,-,-,-,0.97,-,7.21,0.40,0.00,0.00,0.04,3.93,Reasonable,Very Strong,-,88%,-,33%,PFK Montana
Int,Muhammet Enes Eser,TUR,Media-friendly,Fairly Determined,1.11,33.32,40.26,2.75,1.56,1.64,1.22,12.7km,0.53,0.90,261.38,10,16,17,11,12,12,12,6,15,15,14,14,10,6,12,14,11,11,9,12,13,11,13,15,16,9,7,12,15,11,16,14,11,13,-,"AMC, DC, MC, STC",22,Important Player,63,"23000000, 25000000",15,12,0.34,3.52,0.11,0.24,0.21,5.99,4.98,0.33,0.49,1.62,10.41,Fairly Strong,Very Strong,10%,83%,12%,73%,PFK Montana
